subset,features,classifier,cv_mean,cv_std,train_prauc,test_prauc,n_train,pos_rate
ALL (4001),sc+pca32+16+contr,LR_C0.1,0.6094775569875955,0.016139636456923772,0.6494834075463158,0.7988625805474407,4001,0.22444388902774307
ALL (4001),sc+pca32+16+contr,LR_C0.05,0.5988265516519717,0.017774266433768355,0.6362820175620225,0.7979557457080446,4001,0.22444388902774307
ALL (4001),sc+pca16+8+contr,LR_C0.1,0.6129394373616066,0.017284327351602017,0.6407770888614353,0.7970198811177454,4001,0.22444388902774307
ALL (4001),sc+pca32+16+contr,LR_C0.01,0.5812397003759924,0.019050822653510508,0.6117455488155594,0.7961920303743802,4001,0.22444388902774307
ALL (4001),sc+pca16+8+contr,LR_C0.05,0.6027586600014032,0.01615809234612176,0.6298945077015419,0.7961286146456245,4001,0.22444388902774307
gemini+qwen,sc+pca16+8+contr,LR_C0.1,0.5829489896378959,0.022389611075757102,0.6092192204302634,0.7938304663386104,3318,0.18173598553345388
no_TruthfulQA,sc+pca16+8+contr,LR_C0.1,0.5829489896378959,0.022389611075757102,0.6092192204302634,0.7938304663386104,3318,0.18173598553345388
ALL (4001),sc+pca16+8+contr,LR_C0.01,0.5771788700740054,0.018084926891021914,0.5987120700034578,0.7926253096047102,4001,0.22444388902774307
gemini+qwen,sc+pca16+8+contr,LR_C0.05,0.5734733073572139,0.026713480550931857,0.598798360901941,0.7908190131713679,3318,0.18173598553345388
no_TruthfulQA,sc+pca16+8+contr,LR_C0.05,0.5734733073572139,0.026713480550931857,0.598798360901941,0.7908190131713679,3318,0.18173598553345388
ALL (4001),ENS_sc+pca16+8+c,ensemble_lr_gb,0.605966156108711,0.008299468340444338,0.0,0.790534612920833,4001,0.22444388902774307
ALL (4001),sc+pca32+16,LR_C0.01,0.5690224814725154,0.019617694369375983,0.5987585795038232,0.7900093521918536,4001,0.22444388902774307
ALL (4001),sc+pca32+16,LR_C0.05,0.5734437553706286,0.019135504235945514,0.6093812106444365,0.7892201086027901,4001,0.22444388902774307
ALL (4001),ENS_sc+pca32+16+c,ensemble_lr_gb,0.6026419390141747,0.013369075114705342,0.0,0.7892076618150301,4001,0.22444388902774307
gemini_only,sc+pca32+16+contr,LR_C0.1,0.46816458711811093,0.06937793822689717,0.5673640189819634,0.7882377495070672,1753,0.11123787792355962
no_TruthfulQA,sc+pca32+16+contr,LR_C0.05,0.5623310497067553,0.02573707836143078,0.6029423028311045,0.7867249735030807,3318,0.18173598553345388
gemini+qwen,sc+pca32+16+contr,LR_C0.05,0.5623310497067553,0.02573707836143078,0.6029423028311045,0.7867249735030807,3318,0.18173598553345388
no_TruthfulQA,sc+pca32+16+contr,LR_C0.1,0.5740469120980464,0.026709358652757066,0.6176810681044105,0.7866442513935962,3318,0.18173598553345388
gemini+qwen,sc+pca32+16+contr,LR_C0.1,0.5740469120980464,0.026709358652757066,0.6176810681044105,0.7866442513935962,3318,0.18173598553345388
