feat,clf,cv,test,n_feats
scalars+probes,LR_C0.01,0.7302162903411563,0.7948049243720527,65
scalars+probes,LR_C0.05,0.7333581637657223,0.7939216757313967,65
scalars+probes,LR_C0.1,0.7339731127809737,0.7912018039805065,65
scalars+probes+lda,LR_C0.01,0.7369900559768738,0.7904284801009178,73
ALL,LR_C0.01,0.7374216538922328,0.7894293189349659,81
scalars+probes+contrast,LR_C0.01,0.731698913144571,0.789003811543172,73
scalars+contrast+lda,LR_C0.01,0.7346319404852377,0.7867477797081417,73
scalars+probes+lda,LR_C0.05,0.7429732496884583,0.7860409462114437,73
scalars+probes+contrast,LR_C0.05,0.7352024079623426,0.7855787380768401,73
ALL,LR_C0.05,0.7431462592245013,0.7840328115903284,81
scalars+probes+contrast,LR_C0.1,0.7364174565578854,0.7830235332624368,73
scalars+probes,LR_C0.5,0.7339966027114817,0.7823861535589132,65
ENS_scalars+probes+contrast_w0.7,lr+gb,0.7426350726771849,0.782372290079199,73
scalars+probes+lda,LR_C0.1,0.7439827513417395,0.7823492702835495,73
scalars+contrast+lda,LR_C0.05,0.7424497086557776,0.7817040859915291,73
ALL,LR_C0.1,0.7441423126910809,0.7806972913013177,81
ENS_scalars+probes+contrast_w0.6,lr+gb,0.7434746663840917,0.7804330204326562,73
scalars+probes,LR_C1.0,0.7341253126682064,0.7796697942515072,65
ENS_scalars+probes+lda_w0.7,lr+gb,0.747307998687546,0.7783270944189438,73
scalars+contrast+lda,LR_C0.1,0.7440632612737536,0.7778310795253482,73
ENS_scalars+probes+contrast_w0.5,lr+gb,0.7439356916436908,0.7775311715214513,73
ENS_ALL_w0.7,lr+gb,0.7480003541193959,0.7772690161501571,81
probes+contrast,LR_C0.05,0.7317595149177836,0.7771558575308595,16
probes+contrast,LR_C0.1,0.7322864806484842,0.7766299019894467,16
ENS_scalars+probes+lda_w0.6,lr+gb,0.7477802436211765,0.7763077785650526,73
probes+contrast,LR_C0.5,0.7328359497476369,0.7760048080802211,16
probes+contrast,LR_C1.0,0.7329002658622871,0.7759744044515504,16
ENS_ALL_w0.6,lr+gb,0.7484374349149803,0.7749682695134449,81
probes+contrast,LR_C0.01,0.7287957876894764,0.7741621641501163,16
scalars+contrast,LR_C0.01,0.7146199071473005,0.7735972987593602,65
ENS_scalars+probes+lda_w0.5,lr+gb,0.7478037037292604,0.7734911710013125,73
probes+contrast+lda,LR_C0.01,0.7335262774309935,0.7728342882263233,24
scalars+probes+lda,LR_C0.5,0.7453315628759261,0.7726860523386799,73
ENS_ALL_w0.5,lr+gb,0.7485732047881817,0.7723122393233153,81
scalars+probes+contrast,LR_C0.5,0.737348761568302,0.771585424351861,73
probes+contrast+lda,LR_C0.05,0.7384579784217433,0.7713762098345113,24
ALL,LR_C0.5,0.7451705115650086,0.7706881855387677,81
scalars+probes+lda,LR_C1.0,0.7453774256132956,0.7700576064951553,73
probes+contrast+lda,LR_C0.1,0.7392731829355579,0.7694160610776419,24
scalars+contrast,LR_C0.05,0.7212316730412229,0.7687493025997099,65
scalars+probes+contrast,LR_C1.0,0.7372092521624716,0.768649696033328,73
scalars+contrast+lda,LR_C0.5,0.7456449598017908,0.7679606089546915,73
ALL,LR_C1.0,0.7452058959387944,0.7678655351439293,81
probes_only,LR_C0.5,0.7346343768881216,0.7678331965790011,8
probes_only,LR_C1.0,0.7346871435540893,0.767769858789233,8
probe_standalone_L25_mean,probe,0.6798977257183471,0.767324894440633,1
probes_only,LR_C0.1,0.7342208084607496,0.7669241368779087,8
probes_only,LR_C0.05,0.7336457663016608,0.7662738512529197,8
probes+contrast+lda,LR_C0.5,0.7399957597986517,0.7659695240026315,24
probes+contrast+lda,LR_C1.0,0.7399538155700789,0.7654671722231569,24
scalars+contrast,LR_C0.1,0.7240921610637759,0.7653452233058198,65
scalars+contrast+lda,LR_C1.0,0.7457282329277071,0.7652755205346584,73
probes+lda,LR_C0.01,0.7344788565593567,0.7639525938534215,16
probes+lda,LR_C0.05,0.738228750521192,0.7633437155767613,16
probes+lda,LR_C0.1,0.7389174157456855,0.7620094390015448,16
probes_only,LR_C0.01,0.7299642385981733,0.7619104045426877,8
scalars+probes,LGBM_small,0.7384686038568388,0.7613668361097818,65
scalars+probes,LGBM_tiny,0.7374487746754521,0.7608577480394331,65
probes+lda,LR_C0.5,0.7391005873041714,0.7605559681556997,16
probes+lda,LR_C1.0,0.739100961079154,0.760293479818125,16
probes_only,LGBM_small,0.7287486098884479,0.7598359136853616,8
ALL,LGBM_tiny,0.7374759361866899,0.7597031172068145,81
scalars+contrast,LR_C0.5,0.7270660149093242,0.7569790141747588,65
probes_only,LGBM_tiny,0.7281151568231775,0.7564863151439003,8
scalars+probes+lda,LGBM_tiny,0.7378293473515151,0.7560768941396901,73
scalars+contrast,LGBM_tiny,0.7173363171931879,0.7558602327668338,65
scalars+contrast,LR_C1.0,0.7273684551173816,0.7547394099303817,65
scalars+probes+contrast,LGBM_tiny,0.7354924212625769,0.7541636918501369,73
probes+lda,LGBM_small,0.7363179652809781,0.7529968941158856,16
scalars+contrast,LGBM_small,0.7227514808646033,0.7518600017393232,65
ALL,LGBM_small,0.7422615398871746,0.7511815328297099,81
scalars+probes+lda,LGBM_small,0.7415559465858659,0.7501812437444332,73
scalars+probes+contrast,LGBM_small,0.7406038167116038,0.7500710515786039,73
scalars+contrast+lda,LGBM_small,0.7379908024293599,0.749888097992568,73
probes+contrast,LGBM_tiny,0.7343794090790092,0.7492637290891897,16
scalars+contrast+lda,LGBM_tiny,0.7314926880124866,0.7491077493442934,73
probes+contrast+lda,LGBM_tiny,0.7364940608336322,0.7472963765008576,24
probes+contrast+lda,LGBM_small,0.7389229011042898,0.7464635732058056,24
probes+lda,LGBM_tiny,0.7340378502954138,0.7459038412322063,16
probes+contrast,LGBM_small,0.737673207087813,0.7447506565454702,16
probe_standalone_L15_mean,probe,0.7272648827333494,0.7311780157331955,1
probe_standalone_L20_mean,probe,0.6978118245370434,0.7193357067228182,1
probe_standalone_L20,probe,0.5467189511307577,0.7163035541779311,1
probe_standalone_L15,probe,0.5594296201406737,0.6963058176624208,1
probe_standalone_L10_mean,probe,0.6904087439054707,0.6955926927584211,1
probe_standalone_L25,probe,0.516987826947546,0.6867787546355153,1
probe_standalone_L10,probe,0.5135797508097086,0.638240572059425,1
